"","reth","scheme","sex","year","cause","e0","cause_contribution","cause_contribution_months"
"77","latinx","Acosta","female",2011,"Obesity",84.6397629727617,-1.25549035233149,-15.0658842279779
"78","latinx","Acosta","male",2011,"Obesity",79.9619297837395,-1.62034015467769,-19.4440818561323
"79","nhw","Acosta","female",2012,"Obesity",81.1605632551706,-0.855114387123294,-10.2613726454795
"80","nhw","Acosta","male",2012,"Obesity",76.5098074861679,-1.12413624311256,-13.4896349173507
"81","nhb","Acosta","female",2012,"Obesity",78.0584103142106,-1.41714706589299,-17.0057647907159
"82","nhb","Acosta","male",2012,"Obesity",71.8070340366304,-1.54176287334597,-18.5011544801517
"83","latinx","Acosta","female",2012,"Obesity",84.6419038870435,-1.26186113702005,-15.1423336442406
"84","latinx","Acosta","male",2012,"Obesity",80.0079522616595,-1.57619572763427,-18.9143487316113
"85","nhw","Acosta","female",2013,"Obesity",81.1415073315867,-0.850430950331315,-10.2051714039758
"86","nhw","Acosta","male",2013,"Obesity",76.4669538826248,-1.1245334729899,-13.4944016758787
"87","nhb","Acosta","female",2013,"Obesity",78.0362380401684,-1.39657257083368,-16.7588708500042
"88","nhb","Acosta","male",2013,"Obesity",71.8283628933767,-1.54927513561175,-18.591301627341
"89","latinx","Acosta","female",2013,"Obesity",84.6899921501619,-1.25120373084899,-15.0144447701878
"90","latinx","Acosta","male",2013,"Obesity",80.0609432187543,-1.5595360424327,-18.7144325091924
"91","nhw","Acosta","female",2014,"Obesity",81.2016592198798,-0.860201358353365,-10.3224163002404
"92","nhw","Acosta","male",2014,"Obesity",76.4948359810366,-1.14002106034572,-13.6802527241486
"93","nhb","Acosta","female",2014,"Obesity",78.1702149165092,-1.40120838408515,-16.8145006090218
"94","nhb","Acosta","male",2014,"Obesity",72.0423021711168,-1.54504262743598,-18.5405115292317
"95","latinx","Acosta","female",2014,"Obesity",84.8691691836429,-1.2346096376217,-14.8153156514604
"96","latinx","Acosta","male",2014,"Obesity",80.1821101927682,-1.56618260745633,-18.7941912894759
"97","nhw","Acosta","female",2015,"Obesity",81.0273200851816,-0.859287964495351,-10.3114555739442
"98","nhw","Acosta","male",2015,"Obesity",76.3332390614916,-1.14417980702295,-13.7301576842754
"99","nhb","Acosta","female",2015,"Obesity",78.107996370024,-1.39151997161193,-16.6982396593431
"100","nhb","Acosta","male",2015,"Obesity",71.7190474589254,-1.55450030944358,-18.654003713323
"101","latinx","Acosta","female",2015,"Obesity",84.8104525043823,-1.23981366184384,-14.8777639421261
"102","latinx","Acosta","male",2015,"Obesity",80.0390792203371,-1.54384741127021,-18.5261689352425
"103","nhw","Acosta","female",2016,"Obesity",81.0688498147077,-0.866722236902618,-10.4006668428314
"104","nhw","Acosta","male",2016,"Obesity",76.1991587542719,-1.14616640480203,-13.7539968576244
"105","nhb","Acosta","female",2016,"Obesity",77.9696601136623,-1.40542500808991,-16.8651000970789
"106","nhb","Acosta","male",2016,"Obesity",71.4393504479836,-1.54347015273545,-18.5216418328254
"107","latinx","Acosta","female",2016,"Obesity",84.9136578277131,-1.22990220840082,-14.7588265008098
"108","latinx","Acosta","male",2016,"Obesity",80.0348065080726,-1.58069303939004,-18.9683164726805
"109","nhw","Acosta","female",2017,"Obesity",81.0178320411286,-0.859993419137794,-10.3199210296535
"110","nhw","Acosta","male",2017,"Obesity",76.1414679902183,-1.14911602990298,-13.7893923588358
"111","nhb","Acosta","female",2017,"Obesity",78.0777220837473,-1.37734059214995,-16.5280871057994
"112","nhb","Acosta","male",2017,"Obesity",71.3188000045829,-1.54828509960458,-18.579421195255
"113","latinx","Acosta","female",2017,"Obesity",84.943524552072,-1.24613351485675,-14.953602178281
"114","latinx","Acosta","male",2017,"Obesity",79.9899144864707,-1.58740075585209,-19.048809070225
"115","nhw","Acosta","female",2018,"Obesity",81.1699850345079,-0.853702080224693,-10.2444249626963
"116","nhw","Acosta","male",2018,"Obesity",76.3101125511254,-1.15622295484911,-13.8746754581894
"117","nhb","Acosta","female",2018,"Obesity",78.163469915128,-1.38935819277842,-16.672298313341
"118","nhb","Acosta","male",2018,"Obesity",71.3758666219555,-1.52452133714772,-18.2942560457726
"119","latinx","Acosta","female",2018,"Obesity",85.1021710819168,-1.24282255656846,-14.9138706788215
"120","latinx","Acosta","male",2018,"Obesity",80.0678568745441,-1.5835126495232,-19.0021517942784
"121","nhw","Acosta","female",2019,"Obesity",81.3674518762129,-0.865790112211656,-10.3894813465399
"122","nhw","Acosta","male",2019,"Obesity",76.4654828070975,-1.17843863042553,-14.1412635651064
"123","nhb","Acosta","female",2019,"Obesity",78.2759667813221,-1.3779725111951,-16.5356701343412
"124","nhb","Acosta","male",2019,"Obesity",71.4327785226768,-1.53380854129263,-18.4057024955115
"125","latinx","Acosta","female",2019,"Obesity",85.2512385174442,-1.26343530672027,-15.1612236806432
"126","latinx","Acosta","male",2019,"Obesity",80.1476677137057,-1.6056233774528,-19.2674805294336
"127","nhw","Acosta","female",2020,"Obesity",80.2121747443938,-0.834504151485064,-10.0140498178208
"128","nhw","Acosta","male",2020,"Obesity",74.9323460768662,-1.09841759184815,-13.1810111021778
"129","nhb","Acosta","female",2020,"Obesity",75.5168175251525,-1.26194280362883,-15.1433136435459
"130","nhb","Acosta","male",2020,"Obesity",67.7944462115511,-1.30405638911758,-15.6486766694109
"131","latinx","Acosta","female",2020,"Obesity",82.3420817228026,-1.12644351760356,-13.5173222112427
"132","latinx","Acosta","male",2020,"Obesity",75.6218487269796,-1.27391068083737,-15.2869281700485
"133","nhw","Adair","female",2010,"Obesity",81.0958358509852,-0.610740280622664,-7.32888336747197
"134","nhw","Adair","male",2010,"Obesity",76.3627105101001,-0.683034396384883,-8.1964127566186
"135","nhb","Adair","female",2010,"Obesity",77.643389616709,-1.55205943350904,-18.6247132021085
"136","nhb","Adair","male",2010,"Obesity",71.3974880681674,-1.45666233846377,-17.4799480615653
"137","latinx","Adair","female",2010,"Obesity",84.5704956077972,-1.08380755672582,-13.0056906807098
"138","latinx","Adair","male",2010,"Obesity",79.6855393094469,-1.1288881232168,-13.5466574786016
"139","nhw","Adair","female",2011,"Obesity",81.0559078234707,-0.641213376482327,-7.69456051778792
"140","nhw","Adair","male",2011,"Obesity",76.3683150807214,-0.723133714312127,-8.67760457174552
"141","nhb","Adair","female",2011,"Obesity",77.7747835111895,-1.589437578515,-19.07325094218
"142","nhb","Adair","male",2011,"Obesity",71.691612316504,-1.52610886521363,-18.3133063825636
"143","latinx","Adair","female",2011,"Obesity",84.6397629727617,-1.06622636674551,-12.7947164009461
"144","latinx","Adair","male",2011,"Obesity",79.9619297837395,-1.15845307657916,-13.90143691895
"145","nhw","Adair","female",2012,"Obesity",81.1605632551706,-0.647153391886874,-7.76584070264249
"146","nhw","Adair","male",2012,"Obesity",76.5098074861679,-0.736787280285384,-8.84144736342461
"147","nhb","Adair","female",2012,"Obesity",78.0584103142106,-1.59165179764365,-19.0998215717238
"148","nhb","Adair","male",2012,"Obesity",71.8070340366304,-1.54369655311247,-18.5243586373496
"149","latinx","Adair","female",2012,"Obesity",84.6419038870435,-1.08400875665023,-13.0081050798028
"150","latinx","Adair","male",2012,"Obesity",80.0079522616595,-1.15664721290767,-13.8797665548921
"151","nhw","Adair","female",2013,"Obesity",81.1415073315867,-0.664744541035788,-7.97693449242945
"152","nhw","Adair","male",2013,"Obesity",76.4669538826248,-0.760334487160506,-9.12401384592607
"153","nhb","Adair","female",2013,"Obesity",78.0362380401684,-1.59743038104587,-19.1691645725504
"154","nhb","Adair","male",2013,"Obesity",71.8283628933767,-1.58437445505658,-19.0124934606789
"155","latinx","Adair","female",2013,"Obesity",84.6899921501619,-1.09247048067945,-13.1096457681534
