"","reth","sex","year","x","nx","mx","px","qx","lx","dx","Lx","Tx","ex","edx","ex_q025","ex_q975","edx_q025","edx_q975"
"1354","nhw","male",2013,40,1,0.00223217613930884,0.997770313313206,0.00222968668679369,0.958691450506518,0.00213758156393729,0.957622262103005,37.1204081900332,38.719869850118,10.4661696480936,38.6988892482136,38.7415175697257,10.4513101627406,10.4813747135283
"1355","nhw","male",2013,41,1,0.00238220762665526,0.997620627578137,0.0023793724218627,0.956553868942581,0.00227599789578814,0.955415418169806,36.1627859279302,37.805279035572,10.4040538756712,37.785262697887,37.8253506835687,10.3894204179479,10.4188731604171
"1356","nhw","male",2013,42,1,0.00259392206256106,0.99740943924632,0.00259056075368025,0.954277871046793,0.00247211480083931,0.95304127927364,35.2073705097604,36.8942543654919,10.3397870750352,36.8742691281776,36.9153513206358,10.3248679470044,10.3555987812727
"1357","nhw","male",2013,43,1,0.00268712804230947,0.997316479054615,0.00268352094538538,0.951805756245953,0.00255419068282436,0.950528088951486,34.2543292304868,35.9887813303319,10.2719933318815,35.9675597031341,36.0097896135883,10.2564500624619,10.2874747901425
"1358","nhw","male",2013,44,1,0.00298651399880601,0.997017941197854,0.00298205880214608,0.949251565563129,0.0028307239865385,0.947835499070222,33.3038011415353,35.0842730733642,10.20401299942,35.0626383622184,35.106270062327,10.1889317567339,10.219357695087
"1359","nhw","male",2013,45,1,0.00315590614228789,0.996849068494963,0.0031509315050372,0.94642084157659,0.00298210724674752,0.944929003682482,32.3559656424651,34.1877146202371,10.1309374803855,34.1673027357316,34.2099864644005,10.1163557843179,10.1467625210715
"1360","nhw","male",2013,46,1,0.00360241564714769,0.996404065267448,0.00359593473255204,0.943438734329843,0.00339254411281165,0.941741443827501,31.4110366387826,33.294198654134,10.0563087772579,33.2741195739682,33.3151871198352,10.0424753436143,10.0723900523696
"1361","nhw","male",2013,47,1,0.00397040773812875,0.996037463909345,0.00396253609065467,0.940046190217031,0.00372496695561741,0.938182474269755,30.4692951949551,32.4125511193451,9.97403616850319,32.3934349763787,32.4338577329466,9.96005632250613,9.98978777797189
"1362","nhw","male",2013,48,1,0.0042353963797495,0.995773560262059,0.00422643973794057,0.936321223261414,0.00395730522546911,0.934341173919397,29.5311127206853,31.5395101456976,9.88650562844913,31.5202644512413,31.5599650995091,9.87272530927223,9.90233745884356
"1363","nhw","male",2013,49,1,0.00472508706584733,0.995286058596391,0.00471394140360903,0.932363918035945,0.00439510887646077,0.930164632992349,28.5967715467659,30.6712550685209,9.79644468644794,30.6518576013513,30.6907468883473,9.78232850942521,9.81205016606173
"1364","nhw","male",2013,50,1,0.00525196799028685,0.994761799480948,0.00523820051905233,0.927968809159484,0.0048608866978036,0.925536238376446,27.6666069137736,29.8141560801304,9.69960571747426,29.7932987026655,29.8340265238067,9.68553963567629,9.71556620729071
"1365","nhw","male",2013,51,1,0.00580407691716244,0.994212734197209,0.00578726580279099,0.92310792246168,0.00534227091194794,0.92043420309456,26.7410706753971,28.9685203915116,9.59591331236535,28.9475130299089,28.9883874009095,9.58154777383679,9.61149607610014
"1366","nhw","male",2013,52,1,0.00617419599949002,0.993844825181663,0.00615517481833683,0.917765651549732,0.00564900802755341,0.914938241030899,25.8206364723026,28.1342371319977,9.48557443498232,28.1136475466214,28.1533506061544,9.47132475546358,9.50122750437179
"1367","nhw","male",2013,53,1,0.00660049422607822,0.993421241188152,0.00657875881184822,0.912116643522179,0.00600059540600495,0.909113045246961,24.9056982312717,27.3053873187723,9.37264440965513,27.2837862208622,27.3236707633449,9.35851595197332,9.3883052852716
"1368","nhw","male",2013,54,1,0.0072175171090918,0.992808466617274,0.00719153338272571,0.906116048116174,0.00651636380865095,0.902853946884641,23.9965851860247,26.4829049611404,9.25661132205257,26.4619704379315,26.5012312636757,9.2419997075685,9.27207984526609
